iteration,validation_score
2196,1.9539349181722677e-05
2197,1.9539349181722677e-05
2198,1.9539349181722674e-05
2199,1.953924509518282e-05
2200,1.953924509518282e-05
2201,1.9539245095182824e-05
2202,1.953924509518282e-05
2203,1.953924509518282e-05
2204,1.953924509518282e-05
2205,1.9539225127585194e-05
2206,1.9539225127585194e-05
2207,1.9539225127585194e-05
2208,1.9539147173102664e-05
2209,1.9539147173102668e-05
2210,1.9539147173102664e-05
2211,1.9539147173102664e-05
2212,1.9539147173102664e-05
2213,1.9539147173102664e-05
2214,1.9539147173102664e-05
2215,1.9539147173102664e-05
2216,1.9539147173102668e-05
2217,1.9539147173102664e-05
2218,1.9539147173102664e-05
2219,1.9539147173102664e-05
2220,1.9539147173102668e-05
2221,1.9539147173102664e-05
2222,1.9539147173102664e-05
2223,1.9539147173102664e-05
2224,1.9539147173102664e-05
2225,1.9539147173102664e-05
2226,1.9539147173102664e-05
2227,1.9539147173102664e-05
2228,1.9539147173102664e-05
2229,1.9539147173102668e-05
2230,1.9539147173102668e-05
2231,1.9539147173102664e-05
2232,1.9539147173102664e-05
2233,1.9539147173102664e-05
2234,1.9539147173102668e-05
2235,1.9539147173102664e-05
2236,1.9539147173102664e-05
2237,1.9539147173102664e-05
2238,1.9539147173102664e-05
2239,1.9539147173102664e-05
2240,1.9539147173102664e-05
2241,1.9539147173102664e-05
2242,1.9539147173102664e-05
2243,1.9539147173102664e-05
2244,1.9539147173102664e-05
2245,1.9539147173102664e-05
2246,1.9539147173102664e-05
2247,1.9539147173102664e-05
2248,1.9539147173102664e-05
2249,1.9539147173102664e-05
2250,1.9539013478499147e-05
2251,1.9539013478499147e-05
2252,1.9539013478499147e-05
2253,1.9539013478499147e-05
2254,1.9539013478499147e-05
2255,1.9539013478499147e-05
2256,1.9539013478499147e-05
2257,1.9539013478499147e-05
2258,1.953901347849915e-05
2259,1.9539013478499147e-05
2260,1.9539013478499147e-05
2261,1.9539013478499147e-05
2262,1.953901347849915e-05
2263,1.9539013478499147e-05
2264,1.9539013478499147e-05
